fina,Naziv korisnika,Izvršenje 2011,Izvršenje 2012,Izvršenje 2013,Izvršenje 2014
50601,Dotacije opštinama,"749,593.81","749,999.99","199,999.99","198,000.00"
50701,Savez udruženja boraca,"110,000.00","100,000.00","110,000.00","108,900.00"
50801,Matica crnogorska,"275,000.00","270,000.00","240,000.00","237,600.00"
50901,Agencija za nacionalnu bezbjednost,"5,684,171.53","5,638,838.63","5,711,319.43","6,040,816.75"
51001,Agencija za zaštitu ličnih podataka i SPI,"349,407.36","388,509.99","363,666.46","394,613.45"
51101,Crveni krst Crne Gore,"315,000.00","305,000.00","275,000.00","272,250.00"
51201,Crnogorski olimpijski komitet,"420,000.00","475,000.00","379,999.37",
51301,Agencija za mirno rješavanje radnih sporova,"258,602.28","308,219.29","456,230.43","434,546.70"
51401,Senat Prijestonice,"69,999.96","90,000.00","90,000.00","88,999.97"
51501,Fondacija Petrović Njegoš,,"966,666.00","466,666.00","466,665.96"
51601,Revizorsko tijelo,,"73,261.49","130,397.24","215,971.26"
51701,Uprava za inspekcijske poslove,,"2,506,906.19","4,709,668.47","4,747,317.35"
51801,JP Radio Televizija Crne Gore,,,,
51901,Regionalni centar za podvodno razminiranje,,,,
60101,spatavanje i kontrolu na moru,"361,110,717.28","383,239,611.47","387,554,381.80",
60201,Fond za zdravstveno osiguranje,"162,312,244.77","167,409,899.55","167,491,687.41","170,035,869.96"
60301,Zavod za zapošljavanje,"26,715,617.31","22,215,775.05","19,567,636.11","19,566,563.04"
60501,Fond za obeštećenje,"1,791,101.22","102,025.14","91,267.00","2,272,927.33"
60601,Fond rada,"2,655,275.56","2,391,781.24","1,563,981.93","4,521,336.30"
41001,Ministarstvo pomorstva i saobraćaja,,"17,025,458.32","20,303,018.39","30,575,169.02"
41003,Direkcija za saobraćaj,"30,541,575.84","8,338,309.03",,
41501,Ministarstvo održivog razvoja i turizma,,"24,913,947.13","41,482,484.47","44,627,205.31"
41506,Direkcija javnih radova,"36,573,612.13","8,460,258.80",,
40501,Ministarstvo finansija,"194,190,200.23","181,540,712.06","318,628,609.52","498,058,619.92"
